id,created_at,text
368578813019447296,2013-08-17 03:43:31,lucas county sheriff/washington twp pd - in pursuit of vehicle from raintree pkwy and e alexis rd
368576579758080001,2013-08-17 03:34:39,@Captain_Kurt off duty officers working there as a special project/event/security
368576279508840448,2013-08-17 03:33:27,"TPD/TFD - code 3 person down, 16th st and madison ave, person on the ground, with squad 7"
368575457404272640,2013-08-17 03:30:11,"TPD - crews out projecting at the rocket bar on s byrne rd tonight, saying not much going on right now, pretty quiet"
368575240978169856,2013-08-17 03:29:19,TPD - crews have 2 of 3 attempted robbery suspects in custody from the mulberry st and yates st area
368574134629851136,2013-08-17 03:24:56,"TPD/TFD - code 3 person down, 4600 block talmadge rd near ariel ave, person laying on the tennis court, with rescue 23"
368572757174267905,2013-08-17 03:19:27,"TPD - stolen vehicle, 700 block bronson ave, red 93 honda accord just taken from that location"
368571227729690624,2013-08-17 03:13:23,"TPD - fight, 1000 block e manhattan blvd"
368568255155146752,2013-08-17 03:01:34,"TPD - attempted robbery, 2500 block stickney ave, report of two males who tried to knock over a female and take her purse"
368566526762156033,2013-08-17 02:54:42,"TPD - fight, 300 block dennis ct, one caller reports 100 teenagers behind the playground fighting"
368566332448444416,2013-08-17 02:53:55,"TFD - spill on land, n detroit ave and telegraph rd, engine 18"
368565893602635778,2013-08-17 02:52:11,"RT @Toledo_Tweets: “@PatrickHorne: Sky Cop @ Sylvania/ Willys Pkwy. Does this mean that I live in the ""hood"" now? @Toledo_Tweets http://t.c…"
368557786696675330,2013-08-17 02:19:58,"TPD/TFD - code 3 structure fire, reporting of 50 kids running around the building setting things on fire in the basement"
368557223829454848,2013-08-17 02:17:44,"TPD - disorder, collingwood blvd and w delaware ave"
368553235918757889,2013-08-17 02:01:53,"TPD - fight, 2800 block w laskey rd, two females fighting"
368552828890910720,2013-08-17 02:00:16,"TPD - juvenile problem 1300 block n huron st, group of kids throwing things at houses"
368552502553112577,2013-08-17 01:58:58,TPD - a number of crews working a situation in the 1500 block macomber st
368552069021437952,2013-08-17 01:57:15,"TPD - disorder, 3300 block glendale ave"
368551732327903232,2013-08-17 01:55:55,"TPD/TFD - injuries from an assault, 3730 monroe st at the stop &amp; go, with engine 17's company"
368546137612898304,2013-08-17 01:33:41,"TPD - immediate response weapons call, 124th st and 304th, four males looking for another, one has a gun out in his hand"
368545421070573569,2013-08-17 01:30:50,"TFD - outdoor fire, 1700 block cutter st near steel st, report of a large bonfire, engine 13's company"
368545127016300544,2013-08-17 01:29:40,"lucas county sheriff - disorder/weapons call, 7100 block jeffers rd, female with shotgun threatening others on her property"
368544894521839616,2013-08-17 01:28:44,#ScannerOn listen along at http://t.co/dcfIgB8EnA http://t.co/NsmZ5YZ4id
368544333642739712,2013-08-17 01:26:31,"TFD - injuries from a fight, 2800 block stickney ave, engine 19's company, assist police on scene"
368543401257336832,2013-08-17 01:22:48,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @ToledoNewsNow @BestofToledo @MR_N0_EMOTION
368543376414502912,2013-08-17 01:22:42,"TPD - fight, 2800 block stickney ave, caller reports another male trying to steal his gas"
368542593824456704,2013-08-17 01:19:36,"TPD - fight, maumee ave and south ave, male assaulting a female"
368243234989826049,2013-08-16 05:30:03,@ShayBrea67 apparently the trouble makers have moved over to the bronze boar at 20 s huron st and now getting kicked out there
368241976925122561,2013-08-16 05:25:03,"TPD - code 3 shots fired, 900 block willow ave near earl st, caller reports silver car shooting at her home and fled location"
368234329240924160,2013-08-16 04:54:40,"TPD - domestic violence, 900 block city park ave, female caller says grandson and cousin are throwing bricks and breaking windows"
368229242405793792,2013-08-16 04:34:27,"TPD/TFD - injuries from an assault, 1100 block pinebrook pkwy, with engine 11's company"
368228782840479744,2013-08-16 04:32:37,"TPD - panic alarm, 1900 block n detroit ave"
368228472834912258,2013-08-16 04:31:23,"TPD - fight, ye olde durty bird at 2 s st clair st, male with minor injuries and bleeding from the head"
368228044403531776,2013-08-16 04:29:41,"TPD - accident, 124th st and n summit st, two cars involved, people aruging and took off"
368224870825353216,2013-08-16 04:17:05,"TPD/TFD - code 3 injury accident, 2900 block s bryne rd near daleford dr, report of a van into a pole, medical also enroute"
368224205017329664,2013-08-16 04:14:26,"TPD - general broadcast for joint TPD-UTPD patrol unit 618, more complaints of loud parties on perth ave"
368221310893043712,2013-08-16 04:02:56,"TPD - fight, 2100 block parkdale ave near w bancroft st, report of 6 to 10 people fighting and a group gathering"
368220548024655873,2013-08-16 03:59:54,"@Judith_Kirby ya, mostly working traffic stops on surface streets, police and ohsp have been keeping more in touch with each other lately"
368220256260476929,2013-08-16 03:58:44,RT @arasinhughes: @ToledoScanner lol do people not realize they live on a street that legitimately held perth-a-palooza?
368219389604012032,2013-08-16 03:55:18,TPD - general broadcasting ohio state highway patrol traffic stops all over the city tonight
368217605430972416,2013-08-16 03:48:12,"TPD - noise complaint, 2000 block perth st near olds ave, report of multiple loud college parties in the area"
368215661874397184,2013-08-16 03:40:29,"TPD - general broadcast, possible intoxicated driver, did a u-turn on the craig bridge, black grand am, now at n summit st and galena st"
368214677496410113,2013-08-16 03:36:34,TPD - general broadcast from sylvania twp pd - was chasing a motorcycle on I-475 but could not keep up
368212489797775360,2013-08-16 03:27:53,"#ScannerOn for a bit, over 800 people listening on the feed tonight as well http://t.co/dcfIgB8EnA, something going on in toledo?"
368181000473677824,2013-08-16 01:22:45,Toledo Scanner Daily is out! http://t.co/xX5qVs5jhI ▸ Top stories today via @FLAGscanner @Britt_lee98 @CLharrison
367818623588765696,2013-08-15 01:22:48,Toledo Scanner Daily is out! http://t.co/xX5qVs5jhI ▸ Top stories today via @brianjdamico @georgio622 @BrodieMack1117
367489238486380544,2013-08-14 03:33:56,"TPD - gunshots heard, 1800 block marlow rd near matlack ave"
367489042977652736,2013-08-14 03:33:10,Audio: Toledo Police code 3 (emergency response) burglary call at 3200 block Cottage Ave near W Streicher... http://t.co/vcmqoc95uZ
367487949417349120,2013-08-14 03:28:49,"TPD - code 3 burglary, 3200 block cottage ave near w striecher st, somebody broke in, another caller sees two males running away with a tv"
367486422489366529,2013-08-14 03:22:45,"TPD - code 3 burglary, birmingham terrace and consaul st, reported as burglary in progress"
367477906898841600,2013-08-14 02:48:55,"TPD - immediate response burglary, 2200 block whitney ave, caller says male broke into a vacant house"
367477455373991936,2013-08-14 02:47:07,Audio: Toledo Police code 3 (emergency response) weapons call at 300 block E Woodruff Ave from 08/13/2013 at... http://t.co/od78YNiqCZ
367476535281725440,2013-08-14 02:43:28,"TPD - code 3 weapons call, 300 block e woodruff ave, male caller says female tried to cut him with a knife"
367474690941407232,2013-08-14 02:36:08,"TFD - injuries from an assault, 324 s detroit ave, assist police on scene, engine 21's company"
367474257271324672,2013-08-14 02:34:24,"@natilieofficial found it, was an injury accident near that intersection, with few stations and some extra units needed"
367473013807009792,2013-08-14 02:29:28,"@natilieofficial not sure, dont listen much in daytime, and if not big enough to be on the news; about what time, i can review some logs"
367472457487495168,2013-08-14 02:27:15,Audio: Toledo Police code 3 (emergency response) weapons call at 324 S Detroit Ave from 08/13/2013 at 10:19... http://t.co/s2OYJqrxX3
367471134825910273,2013-08-14 02:22:00,"TPD - crews may of had another in custody from western ave area shooting, have two vehicles hit, looking at some video of the incident"
367470741400199168,2013-08-14 02:20:26,"TPD - code 3 weapons call, 324 s detroit ave at the sunoco station, caller reports a male with a knife that is threatening to rob location"
367469505288482817,2013-08-14 02:15:32,"TPD - crews reporting a good drive by shooting and other party retaliated, multiple shots exchanged, nobody injured, still rounding folks up"
367468781733310464,2013-08-14 02:12:39,"TPD - multiple crews in foot pursuit, have two in custody garland ave, looking for one remaining hispanic male"
367467581117972480,2013-08-14 02:07:53,"TPD - air closed for crews out on western ave, have people running through back yards and jumping fences, headed towards eastern ave"
